
PlayerID=14294;Elo=1025.4192952052213
PlayerID=12083;Elo=958.1911545241612
PlayerID=12593;Elo=961.9297821324049
PlayerID=165;Elo=987.0150546291297
PlayerID=11492;Elo=1002.4949375084161
PlayerID=12715;Elo=1356.0665555008593
PlayerID=9108;Elo=1357.200951372082
PlayerID=11847;Elo=1230.7556062373699
PlayerID=10587;Elo=1171.9976748968518
PlayerID=8770;Elo=985.7642879195852

PlayerID=9231;Elo=856.451574071736
PlayerID=17391;Elo=866.7471985313738
PlayerID=1276;Elo=820.1508990350912
PlayerID=16229;Elo=805.9064261020105
PlayerID=11800;Elo=854.9120324983475
PlayerID=8767;Elo=1206.3929546403797
PlayerID=9102;Elo=1115.469747918013
PlayerID=2007;Elo=954.0580979576283
PlayerID=8764;Elo=1210.1743213084803
PlayerID=8771;Elo=1034.8257204101465

PlayerID=15545;Elo=1108.367099828372
PlayerID=14331;Elo=1108.2199138049157
PlayerID=14333;Elo=1081.3629094140279
PlayerID=14332;Elo=1132.3353037918923
PlayerID=180;Elo=853.9630707899846
PlayerID=18358;Elo=1126.5245684618687
PlayerID=17394;Elo=918.2976101208928
PlayerID=18357;Elo=1126.5245684618687
PlayerID=18359;Elo=1126.5245684618687
PlayerID=18356;Elo=1126.5245684618687

PlayerID=18348;Elo=1247.861534699056
PlayerID=18350;Elo=1285.2491483518647
PlayerID=18347;Elo=1283.4911626057315
PlayerID=18346;Elo=1196.1137012417623
PlayerID=18476;Elo=1264.8112426532873

PlayerID=18141;Elo=896.8357841351178
PlayerID=6593;Elo=899.2527347864362
PlayerID=10840;Elo=942.2646831022948
PlayerID=1055;Elo=1043.925528858332
PlayerID=170;Elo=805.9238213723239
PlayerID=10838;Elo=964.7770264675194
PlayerID=13;Elo=1034.397406931721
PlayerID=13287;Elo=1003.8401490921252
PlayerID=11333;Elo=701.1476829600571
PlayerID=13284;Elo=899.7533970509623

PlayerID=11053;Elo=1345.500989069527
PlayerID=150;Elo=689.1594299380696
PlayerID=14560;Elo=1018.0636743181672
PlayerID=8710;Elo=1366.238568286453
PlayerID=1088;Elo=1148.9327233887539
