
PlayerID=29;Elo=1076.9243624387636
PlayerID=39;Elo=1075.5366617238267
PlayerID=9278;Elo=1066.6406930255312
PlayerID=9261;Elo=1107.422535244573
PlayerID=114;Elo=895.2493587666779
PlayerID=921;Elo=1101.8522007075849
PlayerID=2023;Elo=1286.835081676674
PlayerID=8523;Elo=1310.7106680953277
PlayerID=8564;Elo=1341.650277563397
PlayerID=8797;Elo=1299.0262729628346

PlayerID=7;Elo=1361.4336580441297
PlayerID=1225;Elo=1005.2075417289142
PlayerID=7170;Elo=1007.79849437408
PlayerID=8374;Elo=1008.1172458862263
PlayerID=7166;Elo=915.0188247349704
PlayerID=3741;Elo=1448.5703683980796
PlayerID=885;Elo=1484.2657726906787
PlayerID=8183;Elo=1563.01087440414
PlayerID=2757;Elo=1351.0821642402898
PlayerID=429;Elo=1429.4015945000747

PlayerID=752;Elo=865.4618276693305
PlayerID=38;Elo=1075.6572582156873
PlayerID=884;Elo=1035.6822506581868
PlayerID=30;Elo=1029.825500447799
PlayerID=925;Elo=881.925806768536
PlayerID=1044;Elo=1055.7566319004302
PlayerID=21;Elo=1019.2501236957123
PlayerID=8574;Elo=1253.5218725765606
PlayerID=339;Elo=1276.1869585021352
PlayerID=8716;Elo=1277.2744172620955

PlayerID=17;Elo=1107.9733928151727
PlayerID=17918;Elo=927.2685817349968
PlayerID=17919;Elo=927.2685817349968
PlayerID=17916;Elo=927.2685817349968
PlayerID=17917;Elo=927.2685817349968
PlayerID=17912;Elo=1038.380842319078
PlayerID=17915;Elo=1038.380842319078
PlayerID=17913;Elo=1038.380842319078
PlayerID=15;Elo=918.482207781326
PlayerID=17914;Elo=1038.380842319078

PlayerID=373;Elo=1202.5742594955655
PlayerID=44;Elo=1132.8590897368028
PlayerID=11777;Elo=1028.5586864318968
PlayerID=1007;Elo=1111.2728192171362
PlayerID=13;Elo=728.4057625790027
PlayerID=17116;Elo=1032.295801452062
PlayerID=169;Elo=1131.4852448829836
PlayerID=3321;Elo=1034.0872433509826
PlayerID=8785;Elo=1065.2044252233418
PlayerID=14092;Elo=1031.286228626085

PlayerID=7564;Elo=1174.2299648847825
PlayerID=9557;Elo=1048.7236578868954
PlayerID=9559;Elo=1026.6076096546892
PlayerID=9556;Elo=1045.810628541913
PlayerID=874;Elo=834.4322591446506

PlayerID=1572;Elo=970.3117676399993
PlayerID=8256;Elo=949.667243517726
PlayerID=1468;Elo=839.6538439030153
PlayerID=823;Elo=1013.6114135757311
PlayerID=15429;Elo=1176.3086533821177
PlayerID=15940;Elo=1153.4176533408618
PlayerID=12182;Elo=872.3105980587744
PlayerID=5385;Elo=1251.595142960572
PlayerID=16420;Elo=920.9081744849391
PlayerID=162;Elo=1049.4090953488387

PlayerID=14113;Elo=864.6376353655426
PlayerID=848;Elo=1034.9800383481202
PlayerID=1350;Elo=1053.3525803552905
PlayerID=12776;Elo=1038.7203866050172
PlayerID=17911;Elo=955.8219011531004

PlayerID=7965;Elo=1065.6218035332913
PlayerID=14148;Elo=879.7444210566636
PlayerID=35;Elo=1053.8474158601598
PlayerID=1441;Elo=900.3156981108119
PlayerID=12018;Elo=980.4907719093469
PlayerID=8117;Elo=848.3572783121425
PlayerID=1278;Elo=876.511044951997
PlayerID=7508;Elo=947.6055624119733
PlayerID=8000;Elo=857.1409335978693
PlayerID=8212;Elo=927.8068760954361

PlayerID=13229;Elo=987.8497737911088
PlayerID=13578;Elo=1039.2002035197559
PlayerID=14619;Elo=891.2960306886147
PlayerID=13228;Elo=965.411001834972
PlayerID=12090;Elo=1084.7337403479885
PlayerID=17907;Elo=894.497504884105
PlayerID=17908;Elo=894.497504884105
PlayerID=15846;Elo=992.7243433401633
PlayerID=17909;Elo=894.497504884105
PlayerID=17910;Elo=894.497504884105

PlayerID=956;Elo=1202.3767429675056
PlayerID=9798;Elo=848.6870543905314
PlayerID=152;Elo=708.7427203223275
PlayerID=11287;Elo=942.4283303799031
PlayerID=153;Elo=1245.6614397792105

PlayerID=15706;Elo=985.743561281152
PlayerID=17905;Elo=871.8590947847418
PlayerID=8543;Elo=1259.4302925432198
PlayerID=17906;Elo=871.8590947847418
PlayerID=14686;Elo=842.1276344323499

PlayerID=7943;Elo=997.2806559627406
PlayerID=9008;Elo=997.2806353823381
PlayerID=8293;Elo=997.2806199937729
PlayerID=14205;Elo=1158.4814101427228
PlayerID=13779;Elo=1078.268690711126
PlayerID=11940;Elo=1148.7307153133509
PlayerID=163;Elo=1004.5195770137766
PlayerID=742;Elo=898.7465150910673
PlayerID=9382;Elo=1072.7296672742773
PlayerID=13263;Elo=1011.4761420814187

PlayerID=7834;Elo=1270.7360391099407
PlayerID=2799;Elo=1270.9758672092366
PlayerID=113;Elo=796.7980344660609
PlayerID=10697;Elo=922.3111205371256
PlayerID=1276;Elo=876.9486034149015
PlayerID=11217;Elo=706.8541539365627
PlayerID=2407;Elo=906.0564087228423
PlayerID=751;Elo=891.9217523633079

PlayerID=11355;Elo=1178.5218853591946
PlayerID=11576;Elo=1112.2931146581648
PlayerID=9521;Elo=1029.5844643534801
PlayerID=1087;Elo=747.5149366969317
PlayerID=11574;Elo=1111.7226511103665
PlayerID=8552;Elo=1189.230077232488
PlayerID=7028;Elo=1189.2297682157828
PlayerID=10186;Elo=1066.8010888333495
PlayerID=10167;Elo=1079.5333108774241
PlayerID=8957;Elo=1228.8026069342689

PlayerID=7528;Elo=1074.5757709889892

PlayerID=8653;Elo=837.6330876758697
PlayerID=8444;Elo=1176.5272562370017
PlayerID=9699;Elo=1181.697583923119
PlayerID=11644;Elo=995.2303323539726
